reading_id,inverter_id,plant_id,timestamp,dc_power,ac_power,expected_ac_power,performance_ratio,dc_voltage,ac_frequency_hz,inverter_temp,daily_yield,total_yield,status_flag
1,INV_4135001_01,4135001,2026-05-23 00:00:00,0.0,0.0,0.0,,0.0,49.984,28.8,0.0,5922850.8,normal
2,INV_4135001_01,4135001,2026-05-23 01:00:00,0.0,0.0,0.0,,0.0,50.046,28.0,0.0,5922850.8,normal
3,INV_4135001_01,4135001,2026-05-23 02:00:00,0.0,0.0,0.0,,0.0,50.025,31.9,0.0,5922850.8,normal
4,INV_4135001_01,4135001,2026-05-23 03:00:00,0.0,0.0,0.0,,0.0,50.099,31.6,0.0,5922850.8,normal
5,INV_4135001_01,4135001,2026-05-23 04:00:00,0.0,0.0,0.0,,0.0,50.002,30.8,0.0,5922850.8,normal
6,INV_4135001_01,4135001,2026-05-23 05:00:00,0.0,0.0,0.0,,0.0,50.037,28.9,0.0,5922850.8,normal
7,INV_4135001_01,4135001,2026-05-23 06:00:00,0.0,0.0,0.0,,0.0,50.017,31.0,0.0,5922850.8,normal
8,INV_4135001_01,4135001,2026-05-23 07:00:00,453.9,446.77,465.36,0.96,817.8,49.985,34.2,446.77,5923297.6,normal
9,INV_4135001_01,4135001,2026-05-23 08:00:00,892.62,871.01,940.56,0.926,789.0,50.039,39.1,1317.78,5924168.6,normal
10,INV_4135001_01,4135001,2026-05-23 09:00:00,972.81,956.91,1002.75,0.954,758.3,50.044,37.9,2274.69,5925125.5,normal
11,INV_4135001_01,4135001,2026-05-23 10:00:00,1773.71,1745.79,1852.0,0.943,754.5,50.016,45.6,4020.48,5926871.3,normal
12,INV_4135001_01,4135001,2026-05-23 11:00:00,1720.52,1685.29,1787.57,0.943,691.0,49.951,46.0,5705.78,5928556.6,normal
13,INV_4135001_01,4135001,2026-05-23 12:00:00,2011.85,1979.51,2076.93,0.953,810.9,49.974,50.7,7685.29,5930536.1,normal
14,INV_4135001_01,4135001,2026-05-23 13:00:00,1697.19,1658.59,1728.96,0.959,686.6,49.942,45.0,9343.88,5932194.7,normal
15,INV_4135001_01,4135001,2026-05-23 14:00:00,2201.84,2154.37,2240.26,0.962,683.9,50.0,48.6,11498.25,5934349.1,normal
16,INV_4135001_01,4135001,2026-05-23 15:00:00,1563.7,1536.84,1628.49,0.944,678.2,49.984,43.8,13035.08,5935885.9,normal
17,INV_4135001_01,4135001,2026-05-23 16:00:00,1478.37,1444.48,1549.13,0.932,615.8,50.045,43.1,14479.57,5937330.4,normal
18,INV_4135001_01,4135001,2026-05-23 17:00:00,1004.8,986.96,1024.71,0.963,746.4,50.049,37.0,15466.53,5938317.4,normal
19,INV_4135001_01,4135001,2026-05-23 18:00:00,341.7,334.11,359.32,0.93,674.9,49.945,33.1,15800.64,5938651.5,normal
20,INV_4135001_01,4135001,2026-05-23 19:00:00,14.28,13.99,14.65,0.955,705.7,50.004,33.5,15814.63,5938665.5,normal
21,INV_4135001_01,4135001,2026-05-23 20:00:00,0.0,0.0,0.0,,0.0,49.966,30.6,15814.63,5938665.5,normal
22,INV_4135001_01,4135001,2026-05-23 21:00:00,0.0,0.0,0.0,,0.0,50.013,31.9,15814.63,5938665.5,normal
23,INV_4135001_01,4135001,2026-05-23 22:00:00,0.0,0.0,0.0,,0.0,49.995,29.0,15814.63,5938665.5,normal
24,INV_4135001_01,4135001,2026-05-23 23:00:00,0.0,0.0,0.0,,0.0,50.017,28.9,15814.63,5938665.5,normal
25,INV_4135001_01,4135001,2026-05-24 00:00:00,0.0,0.0,0.0,,0.0,49.949,28.5,0.0,5938665.5,normal
26,INV_4135001_01,4135001,2026-05-24 01:00:00,0.0,0.0,0.0,,0.0,49.969,33.0,0.0,5938665.5,normal
27,INV_4135001_01,4135001,2026-05-24 02:00:00,0.0,0.0,0.0,,0.0,49.976,31.2,0.0,5938665.5,normal
28,INV_4135001_01,4135001,2026-05-24 03:00:00,0.0,0.0,0.0,,0.0,50.004,29.1,0.0,5938665.5,normal
29,INV_4135001_01,4135001,2026-05-24 04:00:00,0.0,0.0,0.0,,0.0,49.984,29.1,0.0,5938665.5,normal
30,INV_4135001_01,4135001,2026-05-24 05:00:00,0.0,0.0,0.0,,0.0,50.011,30.1,0.0,5938665.5,normal
31,INV_4135001_01,4135001,2026-05-24 06:00:00,0.0,0.0,0.0,,0.0,49.982,28.8,0.0,5938665.5,normal
