reading_id,plant_id,timestamp,ambient_temp,module_temp,irradiation,poa_irradiance,wind_speed,wind_direction,humidity,cloud_cover_pct,rainfall_mm
1,4135001,2026-05-23 00:00:00,18.8,17.12,0.0,0.0,3.46,W,55.6,19.2,0.0
2,4135001,2026-05-23 01:00:00,15.65,16.51,0.0,0.0,1.16,E,24.6,38.1,0.0
3,4135001,2026-05-23 02:00:00,15.48,16.17,0.0,0.0,3.45,SE,56.3,30.5,0.0
4,4135001,2026-05-23 03:00:00,14.56,14.18,0.0,0.0,3.98,W,36.6,37.6,0.0
5,4135001,2026-05-23 04:00:00,15.84,16.51,0.0,0.0,2.52,NW,43.6,28.0,0.0
6,4135001,2026-05-23 05:00:00,15.01,15.41,0.0,0.0,2.59,N,68.4,37.6,0.0
7,4135001,2026-05-23 06:00:00,16.52,16.31,0.0,0.0,2.66,SW,60.1,2.4,0.0
8,4135001,2026-05-23 07:00:00,17.76,22.7,186.87,197.63,3.57,E,45.4,28.5,0.0
9,4135001,2026-05-23 08:00:00,21.89,31.97,379.22,394.2,4.54,NE,51.4,24.5,0.0
10,4135001,2026-05-23 09:00:00,23.53,32.67,404.5,423.63,2.84,S,18.5,31.2,0.0
11,4135001,2026-05-23 10:00:00,28.73,51.21,752.58,809.04,1.62,NW,8.0,11.4,0.0
12,4135001,2026-05-23 11:00:00,28.33,48.27,725.99,778.04,2.95,E,26.4,11.5,0.0
13,4135001,2026-05-23 12:00:00,32.49,54.6,845.65,852.94,2.4,NE,23.7,9.0,0.0
14,4135001,2026-05-23 13:00:00,32.8,50.15,701.83,755.33,3.82,S,42.2,28.1,0.0
15,4135001,2026-05-23 14:00:00,32.15,54.67,913.46,985.98,3.48,NE,73.4,3.8,0.0
16,4135001,2026-05-23 15:00:00,33.26,50.02,660.47,680.21,3.89,NW,72.6,22.8,0.0
17,4135001,2026-05-23 16:00:00,34.67,52.72,627.85,635.55,2.59,E,71.3,0.0,0.0
18,4135001,2026-05-23 17:00:00,31.79,42.37,413.44,413.9,5.45,E,46.6,13.9,0.0
19,4135001,2026-05-23 18:00:00,29.35,31.88,144.16,146.46,2.67,W,61.5,31.6,0.0
20,4135001,2026-05-23 19:00:00,27.92,27.74,5.86,6.09,4.06,NE,69.1,38.5,0.0
